Item,Estimated_Cost,Actual_Cost,Budget
Logistics,4820,5693,50000
Raw Materials,5322,6136,50000
Transport,6467,4716,50000
Logistics,6502,1934,50000
Logistics,7379,1720,50000
Packaging,2204,7851,50000
Marketing,7449,7056,50000
Marketing,9539,6603,50000
Raw Materials,2203,9230,50000
Logistics,7558,3091,50000
Marketing,1982,5455,50000
Marketing,9923,2087,50000
Raw Materials,7528,6815,50000
Marketing,7655,1908,50000
Maintenance,6599,3331,50000
Labor,6690,2789,50000
Packaging,6905,9986,50000
Labor,7331,8868,50000
Raw Materials,9644,8813,50000
Transport,5073,6423,50000
Packaging,3894,4639,50000
Raw Materials,3234,6831,50000
Logistics,8631,1842,50000
Transport,6859,4528,50000
Labor,9355,4358,50000
Raw Materials,2447,1832,50000
Logistics,1101,9262,50000
Packaging,8434,7280,50000
Packaging,8320,2086,50000
Utilities,1535,9780,50000
Logistics,8500,3842,50000
Maintenance,2700,5625,50000
Marketing,8039,6267,50000
Transport,8114,3984,50000
Logistics,8469,7187,50000
Utilities,7492,5928,50000
Marketing,5344,9840,50000
Marketing,2971,9304,50000
Raw Materials,1712,8328,50000
Marketing,4655,1756,50000
Maintenance,7241,2984,50000
Packaging,7472,4797,50000
Utilities,8760,2141,50000
Marketing,4648,2739,50000
Raw Materials,6124,6148,50000
Maintenance,9650,6423,50000
Labor,3843,9776,50000
Packaging,8973,6015,50000
Packaging,1592,4513,50000
Utilities,1497,3451,50000
Packaging,3134,1851,50000
Marketing,3449,4700,50000
Raw Materials,6412,8594,50000
Packaging,8448,6508,50000
Packaging,5292,7611,50000
Labor,1026,3767,50000
Labor,3253,9850,50000
Transport,4642,8760,50000
Maintenance,4655,8265,50000
Marketing,2086,3344,50000
Packaging,9022,4873,50000
Logistics,3015,9212,50000
Packaging,6067,8849,50000
Raw Materials,8123,2123,50000
Transport,8084,8644,50000
Maintenance,4463,1082,50000
Logistics,5341,1532,50000
Transport,7421,6835,50000
Utilities,5467,9662,50000
Maintenance,3896,7846,50000
Packaging,4128,8098,50000
Packaging,5255,3845,50000
Maintenance,7880,6387,50000
Packaging,2334,7392,50000
Marketing,9709,9983,50000
Maintenance,8078,3693,50000
Transport,2288,8915,50000
Maintenance,9937,7662,50000
Logistics,6647,1920,50000
Packaging,6928,8612,50000
Marketing,5802,9415,50000
Marketing,1697,2135,50000
Utilities,1474,4608,50000
Transport,8696,6778,50000
Labor,7532,3294,50000
Labor,9702,6199,50000
Maintenance,9729,1523,50000
Utilities,3944,6819,50000
Raw Materials,6632,8715,50000
Maintenance,6384,7295,50000
Utilities,2366,7944,50000
Transport,2061,1419,50000
Transport,3307,1131,50000
Transport,1307,8601,50000
Transport,1303,9247,50000
Transport,7486,7261,50000
Utilities,6566,5615,50000
Utilities,6157,5742,50000
Marketing,4891,4943,50000
Logistics,6724,1943,50000
Labor,7280,5130,50000
Packaging,6350,6777,50000
Transport,5133,5362,50000
Raw Materials,1104,6341,50000
Packaging,9446,6532,50000
Utilities,8571,3646,50000
Raw Materials,7601,5705,50000
Raw Materials,7671,5562,50000
Raw Materials,9782,7927,50000
Marketing,9716,3565,50000
Utilities,9561,5328,50000
Raw Materials,3963,6134,50000
Transport,9855,4612,50000
Maintenance,1689,3793,50000
Raw Materials,7743,7358,50000
Marketing,3588,3188,50000
Packaging,2535,6587,50000
Utilities,3028,2094,50000
Logistics,2856,5920,50000
Marketing,4186,8830,50000
Raw Materials,3769,3172,50000
Utilities,7085,8424,50000
Maintenance,7486,8120,50000
Raw Materials,8241,1863,50000
Marketing,3987,7342,50000
Labor,9135,2186,50000
Transport,7090,4597,50000
Logistics,1780,9375,50000
Packaging,5405,2085,50000
Marketing,3153,1907,50000
Utilities,9747,6734,50000
Logistics,4296,5237,50000
Logistics,4313,6309,50000
Logistics,5492,9821,50000
Raw Materials,7296,5629,50000
Transport,3583,1624,50000
Raw Materials,4043,8780,50000
Utilities,8569,7493,50000
Raw Materials,6979,3746,50000
Labor,2169,3901,50000
Transport,4262,5622,50000
Transport,8036,8828,50000
Utilities,7726,1110,50000
Packaging,5022,6720,50000
Labor,9392,7214,50000
Marketing,2890,9304,50000
Raw Materials,9203,6515,50000
Maintenance,6171,1828,50000
Raw Materials,7664,1046,50000
Logistics,8307,9772,50000
Raw Materials,7243,7386,50000
Marketing,4556,9647,50000
Raw Materials,8304,3979,50000
Labor,5966,3230,50000
Labor,1365,6444,50000
Transport,9051,9894,50000
Utilities,1656,3685,50000
Packaging,9352,2264,50000
Maintenance,9366,9824,50000
Logistics,4470,3342,50000
Raw Materials,5060,7756,50000
Raw Materials,6599,6525,50000
Marketing,1544,9249,50000
Utilities,7426,4608,50000
Labor,2761,8366,50000
Maintenance,1956,6121,50000
Transport,9643,3541,50000
Labor,9176,9308,50000
Logistics,8791,3390,50000
Utilities,9273,2601,50000
Logistics,2236,1288,50000
Packaging,5911,9529,50000
Transport,7277,6240,50000
Packaging,1446,8302,50000
Marketing,3165,8895,50000
Logistics,2619,5599,50000
Marketing,2793,2290,50000
Raw Materials,7005,8825,50000
Packaging,1645,8552,50000
Utilities,1378,6240,50000
Logistics,3655,3036,50000
Maintenance,8109,5352,50000
Transport,4584,9986,50000
Labor,2140,9438,50000
Utilities,4735,9776,50000
Utilities,1661,8131,50000
Marketing,6436,9011,50000
Packaging,9203,8487,50000
Logistics,6209,3767,50000
Logistics,1387,8024,50000
Raw Materials,4023,6062,50000
Raw Materials,5735,8929,50000
Transport,9291,2976,50000
Marketing,7471,5264,50000
Utilities,3771,4663,50000
Logistics,5169,2327,50000
Maintenance,8263,9873,50000
Marketing,7235,3503,50000
Transport,5019,9055,50000
Transport,5270,2374,50000
Marketing,6856,8278,50000
Transport,1034,7747,50000
Marketing,8618,3320,50000
Labor,4380,9878,50000
Marketing,6476,7429,50000
Packaging,8543,1755,50000
Marketing,4176,3056,50000
Transport,9367,4116,50000
Logistics,3153,5768,50000
Packaging,5687,4417,50000
Transport,2586,4288,50000
Raw Materials,9056,4566,50000
Raw Materials,6422,6522,50000
Logistics,4658,6426,50000
Logistics,1952,7426,50000
Packaging,7270,3197,50000
Labor,6365,4037,50000
Logistics,3871,8954,50000
Raw Materials,3978,6030,50000
Marketing,3970,4334,50000
Transport,5908,7021,50000
Raw Materials,2959,8816,50000
Raw Materials,6182,3961,50000
Labor,1805,4781,50000
Packaging,4100,7460,50000
Packaging,2575,1244,50000
Utilities,9791,9533,50000
Labor,3615,9200,50000
Marketing,9803,5574,50000
Packaging,6626,3069,50000
Transport,9752,1276,50000
Logistics,1626,8074,50000
Labor,7884,6020,50000
Logistics,3811,4156,50000
Raw Materials,2610,4132,50000
Transport,9866,5519,50000
Transport,1048,7123,50000
Raw Materials,2386,5666,50000
Labor,2902,1768,50000
Raw Materials,5722,4243,50000
Logistics,5372,7201,50000
Utilities,4842,9072,50000
Transport,8069,6912,50000
Maintenance,5311,1408,50000
Maintenance,9421,5581,50000
Logistics,8806,5102,50000
Marketing,7466,9621,50000
Packaging,8997,3677,50000
Raw Materials,7368,5028,50000
Raw Materials,2685,8920,50000
Marketing,9139,6561,50000
Marketing,6133,9128,50000
Logistics,9824,6527,50000
Logistics,3422,2648,50000
Marketing,3750,8812,50000
Transport,9524,7050,50000
Logistics,7309,2909,50000
Utilities,9698,9649,50000
Logistics,5212,8133,50000
Raw Materials,1942,2943,50000
Logistics,9827,7268,50000
Transport,2462,3890,50000
Marketing,8471,9000,50000
Raw Materials,2991,8851,50000
Logistics,6390,4603,50000
Transport,1112,6152,50000
Utilities,8183,8148,50000
Logistics,3263,4884,50000
Transport,9618,9876,50000
Utilities,6254,9912,50000
Marketing,3811,8365,50000
Logistics,1833,2803,50000
Utilities,8227,5814,50000
Raw Materials,9421,8061,50000
Marketing,5254,7053,50000
Raw Materials,3518,6972,50000
Maintenance,4667,3090,50000
Labor,2041,4674,50000
Logistics,6112,6002,50000
Utilities,1707,7672,50000
Labor,8458,3275,50000
Labor,2383,1222,50000
Utilities,2302,6738,50000
Marketing,8118,4292,50000
Logistics,9868,2328,50000
Maintenance,3564,9000,50000
Raw Materials,2260,1524,50000
Transport,4203,8002,50000
Raw Materials,1357,7274,50000
Transport,6404,5307,50000
Raw Materials,6412,2861,50000
Utilities,4234,1301,50000
Maintenance,9083,3696,50000
Logistics,1418,7589,50000
Transport,8906,7659,50000
Logistics,6587,6516,50000
Logistics,4955,3520,50000
Logistics,2593,2920,50000
Packaging,5602,5457,50000
Marketing,1244,1530,50000
Raw Materials,5572,8760,50000
Logistics,1614,1509,50000
Raw Materials,1249,8590,50000
Logistics,7620,8916,50000
Transport,6869,9801,50000
Marketing,6971,3134,50000
Marketing,1510,5715,50000
Utilities,6968,5091,50000
Packaging,5869,1311,50000
Utilities,8505,2857,50000
Utilities,8647,7465,50000
Utilities,1073,9485,50000
Utilities,3878,9742,50000
Utilities,6141,8707,50000
Maintenance,3126,3570,50000
Marketing,3204,8913,50000
Utilities,7470,1880,50000
Logistics,4679,1604,50000
Marketing,9089,4069,50000
Marketing,1984,4047,50000
Labor,2298,7795,50000
Maintenance,8548,8269,50000
Utilities,8187,9510,50000
Raw Materials,4955,3924,50000
Transport,6713,9969,50000
Packaging,4687,5584,50000
Logistics,4045,4087,50000
Raw Materials,7716,1263,50000
Maintenance,3085,3932,50000
Transport,7533,9877,50000
Maintenance,3727,2283,50000
Logistics,1376,9795,50000
Marketing,7992,4600,50000
Transport,6700,5433,50000
Marketing,5690,7660,50000
Logistics,3794,9317,50000
Raw Materials,2065,4252,50000
Logistics,4682,3564,50000
Raw Materials,8637,4106,50000
Transport,2051,1661,50000
Transport,9820,9308,50000
Utilities,9080,2978,50000
Maintenance,3373,9867,50000
Utilities,7762,7722,50000
Maintenance,9058,8126,50000
Utilities,7468,5552,50000
Marketing,4974,6074,50000
Transport,7659,4724,50000
Raw Materials,8828,5327,50000
Maintenance,5841,5893,50000
Logistics,2951,2975,50000
Maintenance,4921,6691,50000
Raw Materials,4424,1879,50000
Utilities,7725,5137,50000
Maintenance,2171,4944,50000
Packaging,4769,7293,50000
Marketing,4631,9951,50000
Transport,3310,7193,50000
Raw Materials,3343,6807,50000
Transport,4386,8021,50000
Packaging,4067,2462,50000
Maintenance,3339,7691,50000
Maintenance,1683,4018,50000
Logistics,2054,3844,50000
Packaging,8211,7753,50000
Raw Materials,3602,8342,50000
Logistics,5014,7776,50000
Marketing,8301,7193,50000
Logistics,1348,8755,50000
Labor,2022,8764,50000
Raw Materials,9641,3493,50000
Labor,1503,8083,50000
Packaging,9277,2916,50000
Utilities,1522,4317,50000
Labor,3508,4570,50000
Marketing,9821,5610,50000
Logistics,1017,6774,50000
Utilities,8423,1594,50000
Logistics,2268,1770,50000
Labor,2176,9531,50000
Logistics,2632,8370,50000
Packaging,4613,1003,50000
Utilities,1114,7562,50000
Packaging,9944,2927,50000
Labor,7590,9866,50000
Packaging,3400,5419,50000
Marketing,7768,4619,50000
Labor,3588,4149,50000
Labor,1321,5779,50000
Labor,8626,6624,50000
Raw Materials,1833,4911,50000
Logistics,9403,4256,50000
Raw Materials,1158,7198,50000
Raw Materials,3619,8808,50000
Marketing,2347,7712,50000
Utilities,4164,1339,50000
Logistics,7813,7157,50000
Packaging,1910,2074,50000
Maintenance,8166,8515,50000
Labor,3451,2894,50000
Packaging,1403,8148,50000
Labor,2690,5153,50000
Marketing,4485,2914,50000
Labor,5288,4848,50000
Raw Materials,9116,5559,50000
Logistics,1522,8783,50000
Maintenance,5445,5807,50000
Transport,7459,6073,50000
Labor,8086,3721,50000
Packaging,2944,8158,50000
Raw Materials,4571,8191,50000
Transport,2560,5169,50000
Maintenance,5747,1250,50000
Transport,8154,8492,50000
Raw Materials,1592,3114,50000
Logistics,6327,6344,50000
Logistics,1755,7707,50000
Utilities,1496,6702,50000
Logistics,3421,1492,50000
Utilities,2598,2022,50000
Transport,5127,8252,50000
Marketing,8016,4301,50000
Packaging,6551,5737,50000
Packaging,4590,7414,50000
Transport,1461,8441,50000
Labor,5966,8236,50000
Labor,9559,4417,50000
Logistics,1165,6917,50000
Packaging,2728,3125,50000
Packaging,8696,9324,50000
Utilities,5697,6543,50000
Marketing,3173,7919,50000
Raw Materials,1037,4673,50000
Labor,5443,4897,50000
Packaging,8486,3739,50000
Utilities,3021,7882,50000
Maintenance,7880,4000,50000
Utilities,9925,2882,50000
Labor,5521,4243,50000
Labor,9839,3666,50000
Utilities,4302,6700,50000
Raw Materials,9511,2383,50000
Transport,5607,7909,50000
Labor,7368,5138,50000
Utilities,6873,8458,50000
Packaging,8498,5249,50000
Utilities,8172,1352,50000
Marketing,6635,9864,50000
Transport,4847,6270,50000
Maintenance,1764,6087,50000
Raw Materials,7306,8624,50000
Logistics,1652,2963,50000
Maintenance,8044,1539,50000
Transport,4964,7550,50000
Transport,5611,2675,50000
Transport,6759,3601,50000
Maintenance,9378,2388,50000
Packaging,1145,4730,50000
Transport,6101,8648,50000
Utilities,5247,8745,50000
Maintenance,5188,8015,50000
Logistics,3696,2592,50000
Transport,9240,8992,50000
Utilities,4329,5715,50000
Packaging,4481,9332,50000
Marketing,9966,6306,50000
Packaging,5641,2504,50000
Logistics,6559,6461,50000
Transport,2260,9371,50000
Logistics,1649,4728,50000
Maintenance,4048,9370,50000
Labor,3023,4033,50000
Transport,5270,2243,50000
Labor,6333,3270,50000
Utilities,3074,2003,50000
Marketing,7037,6278,50000
Raw Materials,3312,2522,50000
Logistics,4474,7178,50000
Packaging,4260,5448,50000
Marketing,5838,6120,50000
Transport,6618,3788,50000
Labor,2350,4246,50000
Packaging,7048,4022,50000
Labor,8931,9910,50000
Maintenance,9141,8900,50000
Labor,8323,9977,50000
Maintenance,6777,7031,50000
Utilities,2854,5086,50000
Packaging,3266,2000,50000
Packaging,1560,6755,50000
Raw Materials,8546,6939,50000
Transport,5987,7587,50000
Maintenance,8207,7254,50000
Raw Materials,7486,3824,50000
Labor,3383,7939,50000
Labor,7147,5673,50000
Raw Materials,8664,8498,50000
Packaging,2683,8007,50000
Labor,2009,5373,50000
Logistics,3272,3594,50000
Utilities,3612,8273,50000
Utilities,8424,1424,50000
Logistics,8226,1670,50000
Raw Materials,7063,4774,50000
Logistics,5341,6434,50000
Maintenance,2542,3697,50000
Maintenance,2237,2895,50000
Raw Materials,6709,6155,50000
Logistics,3263,7190,50000
Maintenance,1282,6728,50000
Packaging,8998,6351,50000
Logistics,8740,6653,50000
Packaging,4286,4485,50000
Maintenance,9363,1406,50000
Utilities,2882,4955,50000
Maintenance,7187,1123,50000
Packaging,3275,8861,50000
Marketing,7874,5825,50000
Transport,8502,2187,50000
Labor,9792,1169,50000
Logistics,4790,8129,50000
Marketing,3023,2327,50000
Maintenance,1466,6215,50000
Utilities,4950,5795,50000
Raw Materials,4889,7566,50000
Maintenance,3592,6111,50000
Utilities,7632,4378,50000
Transport,7358,8673,50000
Maintenance,2547,9255,50000
Packaging,8169,1369,50000
Raw Materials,5749,7659,50000
Utilities,5436,8200,50000
Utilities,1703,3772,50000
Utilities,7550,8632,50000
Transport,9497,5513,50000
Maintenance,8636,5636,50000
Transport,2581,5702,50000
Logistics,4957,2511,50000
Labor,5590,7726,50000
Labor,4332,1860,50000
Logistics,2685,2596,50000
Maintenance,8531,8410,50000
Packaging,7911,3136,50000
Transport,6731,7700,50000
Raw Materials,1895,6922,50000
Utilities,9032,6090,50000
Utilities,3346,7338,50000
Maintenance,4531,2246,50000
Packaging,2861,3699,50000
Labor,5852,5931,50000
Labor,1030,4231,50000
Utilities,1242,4185,50000
Maintenance,7918,5119,50000
Transport,6511,5402,50000
Labor,6508,6313,50000
Transport,5668,6643,50000
Packaging,7087,3680,50000
Labor,8015,2707,50000
Labor,8636,5396,50000
Marketing,7662,9376,50000
Labor,5003,7188,50000
Logistics,1598,5729,50000
Raw Materials,3195,2297,50000
Logistics,1069,9028,50000
Maintenance,9139,1796,50000
Maintenance,4659,1772,50000
Transport,6634,8539,50000
Logistics,3281,7009,50000
Logistics,7822,4989,50000
Logistics,4682,3680,50000
Packaging,3683,9576,50000
Labor,5562,7857,50000
Raw Materials,5652,7823,50000
Transport,5931,5212,50000
Logistics,5713,7885,50000
Logistics,6413,1072,50000
Marketing,6600,4378,50000
Transport,5103,1848,50000
Logistics,3075,2692,50000
Transport,1782,6942,50000
Labor,4806,9083,50000
Marketing,2057,6366,50000
Transport,3054,8002,50000
Raw Materials,3109,6117,50000
Raw Materials,8283,3491,50000
Maintenance,2320,4186,50000
Marketing,8849,7076,50000
Marketing,5417,9403,50000
Maintenance,4699,4336,50000
Transport,1732,1692,50000
Marketing,7562,3800,50000
Raw Materials,4549,5659,50000
Raw Materials,7163,6396,50000
Logistics,7555,8847,50000
Labor,6378,8402,50000
Marketing,9796,7716,50000
Transport,2722,9475,50000
Maintenance,3812,1459,50000
Maintenance,8537,3417,50000
Transport,3278,2470,50000
Packaging,3350,4920,50000
Utilities,4623,9040,50000
Labor,7530,6000,50000
Maintenance,1714,9701,50000
Marketing,1924,6456,50000
Labor,4162,4243,50000
Marketing,5153,8930,50000
Packaging,5529,2375,50000
Raw Materials,3569,8211,50000
Labor,3815,5011,50000
Logistics,7972,9965,50000
Maintenance,5578,6007,50000
Labor,5462,8428,50000
Labor,1888,9294,50000
Labor,6948,5993,50000
Utilities,4478,8538,50000
Labor,4589,7033,50000
Marketing,2723,4949,50000
Raw Materials,2258,4694,50000
Packaging,8026,1659,50000
Transport,9602,5878,50000
Labor,3230,6043,50000
Maintenance,8454,8029,50000
Labor,3060,5763,50000
Maintenance,4898,2154,50000
Marketing,3613,6304,50000
Maintenance,8015,5150,50000
Logistics,7698,5799,50000
Transport,2802,7712,50000
Raw Materials,1677,4107,50000
Maintenance,9087,7535,50000
Maintenance,5713,7920,50000
Raw Materials,8730,3722,50000
Transport,4004,2405,50000
Labor,9986,6538,50000
Maintenance,1728,7282,50000
Raw Materials,5734,1375,50000
Logistics,1190,5504,50000
Logistics,5994,3679,50000
Marketing,4866,7988,50000
Raw Materials,7039,1540,50000
Marketing,7445,6407,50000
Logistics,9829,1158,50000
Transport,5045,3265,50000
Labor,7315,7615,50000
Raw Materials,6624,8941,50000
Packaging,5158,5764,50000
Logistics,5111,5254,50000
Logistics,7834,1911,50000
Packaging,4951,2278,50000
Utilities,6220,6751,50000
Logistics,5058,7636,50000
Maintenance,4247,6991,50000
Transport,2216,4715,50000
Raw Materials,7092,8004,50000
Packaging,8980,5455,50000
Maintenance,6586,7976,50000
Packaging,8076,3084,50000
Raw Materials,8940,5509,50000
Marketing,3222,7862,50000
Raw Materials,8979,6340,50000
Utilities,2514,2943,50000
Raw Materials,9608,4528,50000
Raw Materials,3883,6258,50000
Utilities,4826,2102,50000
Transport,5339,2212,50000
Logistics,1674,1109,50000
Raw Materials,7289,6413,50000
Utilities,1102,2151,50000
Maintenance,4993,5309,50000
Marketing,4708,6969,50000
Marketing,2495,5680,50000
Raw Materials,4392,6852,50000
Transport,8537,7495,50000
Transport,3785,5235,50000
Maintenance,6819,1728,50000
Raw Materials,4659,8320,50000
Marketing,5880,6900,50000
Transport,6588,2289,50000
Raw Materials,5802,3421,50000
Packaging,5891,4532,50000
Transport,4525,8053,50000
Utilities,4517,6095,50000
Packaging,5777,7404,50000
Logistics,5189,4091,50000
Transport,7933,8195,50000
Marketing,7137,2459,50000
Labor,7254,8374,50000
Packaging,2913,2446,50000
Logistics,8335,5474,50000
Maintenance,2150,5624,50000
Maintenance,5137,6829,50000
Marketing,5136,1536,50000
Transport,8729,3121,50000
Raw Materials,2510,1018,50000
Transport,4915,6898,50000
Marketing,7325,8199,50000
Maintenance,4252,8723,50000
Transport,9935,3548,50000
Maintenance,4938,7236,50000
Packaging,3511,1604,50000
Logistics,2073,3261,50000
Raw Materials,3192,7074,50000
Packaging,9207,5353,50000
Maintenance,8383,3315,50000
Maintenance,6171,7229,50000
Labor,9298,4648,50000
Labor,5314,5683,50000
Packaging,7480,7723,50000
Utilities,3857,7928,50000
Packaging,5349,7546,50000
Labor,2428,1563,50000
Maintenance,7723,6648,50000
Marketing,7779,1993,50000
Packaging,8856,3282,50000
Maintenance,8300,1953,50000
Marketing,7645,1837,50000
Marketing,8670,8475,50000
Labor,3921,1607,50000
Packaging,9166,2380,50000
Transport,8244,7975,50000
Raw Materials,1878,3908,50000
Labor,9502,8645,50000
Labor,2321,9004,50000
Transport,5375,5993,50000
Raw Materials,9886,5553,50000
Maintenance,6005,8213,50000
Utilities,9462,8635,50000
Packaging,6636,7900,50000
Utilities,6220,6585,50000
Maintenance,4027,6804,50000
Logistics,4124,2059,50000
Labor,2753,2458,50000
Raw Materials,9186,8697,50000
Labor,6099,4384,50000
Marketing,5335,9621,50000
Labor,4285,2240,50000
Labor,9552,8139,50000
Maintenance,9925,8551,50000
Maintenance,1851,6097,50000
Maintenance,1859,4960,50000
Utilities,2350,7772,50000
Marketing,5918,4574,50000
Logistics,6730,1019,50000
Logistics,1326,1714,50000
Maintenance,3120,8289,50000
Raw Materials,1993,5243,50000
Utilities,6375,1608,50000
Transport,2766,7857,50000
Raw Materials,2964,2047,50000
Packaging,7601,9608,50000
Packaging,3781,9167,50000
Raw Materials,8019,3903,50000
Maintenance,3905,4918,50000
Transport,9290,8920,50000
Transport,1243,8817,50000
Utilities,5037,8844,50000
Transport,8938,6493,50000
Packaging,6494,4358,50000
Marketing,3709,1662,50000
Maintenance,8701,2790,50000
Transport,8795,8241,50000
Utilities,8088,1994,50000
Packaging,2047,8400,50000
Marketing,5378,9149,50000
Labor,7544,9730,50000
Labor,7711,9638,50000
Marketing,8221,6130,50000
Packaging,9613,7880,50000
Utilities,7992,5431,50000
Marketing,9062,7567,50000
Maintenance,4801,4549,50000
Maintenance,6362,2920,50000
Labor,6473,2342,50000
Transport,5570,4075,50000
Utilities,3452,1562,50000
Labor,3083,7844,50000
Transport,6163,9273,50000
Transport,5833,2746,50000
Logistics,7801,1355,50000
Maintenance,4340,2864,50000
Packaging,4844,3329,50000
Raw Materials,1639,4291,50000
Packaging,9096,7459,50000
Raw Materials,9151,7035,50000
Marketing,9377,6650,50000
Maintenance,6400,3770,50000
Transport,2318,5200,50000
Utilities,9719,8290,50000
Raw Materials,4259,3536,50000
Packaging,4483,8365,50000
Transport,4019,1873,50000
Raw Materials,5779,9439,50000
Raw Materials,9766,7976,50000
Logistics,2324,4340,50000
Raw Materials,5404,1567,50000
Utilities,6937,6932,50000
Maintenance,2434,8928,50000
Utilities,9729,2351,50000
Labor,8554,8456,50000
Transport,5953,4937,50000
Maintenance,9384,8997,50000
Logistics,9666,9040,50000
Maintenance,5269,2915,50000
Maintenance,8378,3880,50000
Packaging,3437,5842,50000
Maintenance,5552,7726,50000
Logistics,2354,8284,50000
Utilities,4400,6029,50000
Maintenance,8196,5432,50000
Marketing,4754,7501,50000
Transport,7265,7010,50000
Maintenance,1158,3159,50000
Transport,7741,7173,50000
Marketing,2837,5059,50000
Marketing,5611,5422,50000
Transport,2025,7255,50000
Raw Materials,8812,3993,50000
Labor,8246,1273,50000
Packaging,1658,3236,50000
Raw Materials,1677,5477,50000
Raw Materials,5046,2731,50000
Utilities,4821,4728,50000
Packaging,3375,8762,50000
Packaging,1275,4430,50000
Raw Materials,7859,6349,50000
Maintenance,2588,3060,50000
Utilities,5581,9139,50000
Utilities,1245,2475,50000
Marketing,7670,6927,50000
Logistics,9192,5238,50000
Packaging,3184,5123,50000
Raw Materials,4251,6878,50000
Marketing,6863,2226,50000
Transport,4051,9412,50000
Labor,4771,9314,50000
Logistics,9889,6252,50000
Logistics,3419,3217,50000
Logistics,8396,6717,50000
Utilities,3628,2959,50000
Transport,8309,7776,50000
Logistics,1685,2823,50000
Transport,3756,7133,50000
Maintenance,6023,1111,50000
Logistics,5835,5973,50000
Labor,2972,6114,50000
Transport,1710,6319,50000
